population,x,y
3212,111.06,-78.33
2949,112.19,-78.33
4679,102.02,-77.41
3741,103.15,-77.41
280,104.28,-77.41
749,105.41,-77.41
3718,106.54,-77.41
1011,107.67,-77.41
52,108.79,-77.41
336,109.92,-77.41
1709,111.05,-77.41
3612,112.18,-77.41
2380,102.02,-76.48
4659,103.15,-76.48
821,104.28,-76.48
762,105.4,-76.48
458,106.53,-76.48
4,107.66,-76.48
472,109.92,-76.48
2232,111.05,-76.48
4212,112.17,-76.48
3131,102.01,-75.56
510,103.14,-75.56
3289,104.27,-75.56
1414,105.4,-75.56
106,107.66,-75.56
74,108.78,-75.56
2001,109.91,-75.56
184,111.04,-75.56
652,112.17,-75.56
4733,102.01,-74.63
2031,103.14,-74.63
2881,104.26,-74.63
369,105.39,-74.63
90,106.52,-74.63
12,107.65,-74.63
126,108.78,-74.63
524,109.91,-74.63
387,111.03,-74.63
7,112.16,-74.63
3010,113.32,-78.33
1244,114.44,-78.33
4349,113.31,-77.41
3813,114.44,-77.41
4384,115.57,-77.41
2071,116.69,-77.41
1433,117.82,-77.41
653,118.95,-77.41
2740,113.3,-76.48
2546,114.43,-76.48
3519,115.56,-76.48
692,116.69,-76.48
4218,117.82,-76.48
5167,118.95,-76.48
2621,120.07,-76.48
1465,121.2,-76.48
133,122.33,-76.48
164,123.46,-76.48
881,113.3,-75.56
126,114.43,-75.56
494,115.55,-75.56
99,116.68,-75.56
512,117.81,-75.56
1409,118.94,-75.56
7106,120.07,-75.56
12711,121.2,-75.56
10356,122.32,-75.56
2758,123.45,-75.56
262,113.29,-74.63
102,114.42,-74.63
13,115.55,-74.63
557,116.68,-74.63
7883,117.81,-74.63
8473,118.93,-74.63
7060,120.06,-74.63
13212,121.19,-74.63
10909,122.32,-74.63
1597,123.45,-74.63
2,132.5,-78.33
91,133.63,-78.33
577,133.62,-77.41
863,134.75,-77.41
357,132.49,-76.48
8124,133.62,-76.48
8124,134.75,-76.48
5564,124.58,-75.56
10023,125.71,-75.56
8324,126.84,-75.56
7383,127.97,-75.56
6030,129.1,-75.56
4672,130.22,-75.56
9005,131.35,-75.56
10924,132.48,-75.56
10476,133.61,-75.56
6583,134.74,-75.56
6723,124.58,-74.63
11549,125.7,-74.63
12605,126.83,-74.63
13408,127.96,-74.63
12610,129.09,-74.63
13020,130.22,-74.63
10897,131.35,-74.63
10855,132.47,-74.63
